original_title,title,homepage,budget,original_language,overview,popularity,release_date,revenue,runtime,tagline,vote_average,vote_count
Poltergeist,Poltergeist,,10700000,en,"Steve Freeling lives with his wife, Diane, and their three children, Dana, Robbie, and Carol Anne, in Southern California where he sells houses for the company that built the neighborhood. It starts with just a few odd occurrences, such as broken dishes and furniture moving around by itself. However, when he realizes that something truly evil haunts his home, Steve calls in a team of parapsychologists led by Dr. Lesh to help before it's too late.",36.230204,04/06/1982,122200000,114,They're here.,7,794
The Ladykillers,The Ladykillers,,0,en,"An eccentric, if not charming Southern professor and his crew pose as a band in order to rob a casino, all under the nose of his unsuspecting landlord – a sharp old woman.",23.666229,25/03/2004,0,104,The greatest criminal minds of all time have finally met their match.,6,415
Max Payne,Max Payne,http://www.maxpaynethemovie.com,35000000,en,"Coming together to solve a series of murders in New York City are a DEA agent whose family was slain as part of a conspiracy and an assassin out to avenge her sister's death. The duo will be hunted by the police, the mob, and a ruthless corporation.",25.903237,15/10/2008,85416905,100,When a Man Has Lost Everything. He Only has Revenge,5.2,613
In Time,In Time,http://www.intimemovie.com/,40000000,en,"In the not-too-distant future the aging gene has been switched off. To avoid overpopulation, time has become the currency and the way people pay for luxuries and necessities. The rich can live forever, while the rest try to negotiate for their immortality. A poor young man who comes into a fortune of time, though too late to help his mother from dying. He ends up on the run from a corrupt police force known as 'time keepers'.",60.231382,27/10/2011,173930596,109,Time Is Power,6.7,3417
The Back-Up Plan,The Back-Up Plan,http://www.theback-upplan.com/,35000000,en,"When Zoe tires of looking for Mr. Right, she decides to have a baby on her own. But on the day she's artificially inseminated, she meets Stan, who seems to be just who she's been searching for all her life. Now, Zoe has to figure out how to make her two life's dreams fit with each other.",18.38292,23/04/2010,77477008,106,"Fall in love, get married, have a baby. Not necessarily in that order.",5.7,458
Something Borrowed,Something Borrowed,http://somethingborrowedmovie.warnerbros.com/,35000000,en,"Though Rachel (Ginnifer Goodwin) is a successful attorney and a loyal, generous friend, she is still single. After one drink too many at her 30th-birthday celebration, Rachel unexpectedly falls into bed with her longtime crush, Dex -- who happens to be engaged to her best friend, Darcy (Kate Hudson). Ramifications of the liaison threaten to destroy the women's lifelong friendship, while Ethan (John Krasinski), Rachel's confidant, harbors a potentially explosive secret of his own.",14.029012,05/05/2011,59901913,112,It's a thin line between love and friendship.,5.9,296
Black Knight,Black Knight,,0,en,"Martin Lawrence plays Jamal, an employee in Medieval World amusement park. After sustaining a blow to the head, he awakens to find himself in 14th century England.",15.913783,21/11/2001,0,95,It's only a flesh wound!,5.1,287
The Bad News Bears,The Bad News Bears,,35000000,en,"An aging, down-on-his-luck ex-minor leaguer coaches a team of misfits in an ultra-competitive California little league.",6.889633,07/04/1976,35323292,102,The coach is waiting for his next beer. The pitcher is waiting for her first bra. The team is waiting for a miracle. Consider the possibilities.,6.9,97
Street Fighter,Street Fighter,,35000000,en,Col. Guile and various other martial arts heroes fight against the tyranny of Dictator M. Bison and his cohorts.,19.286099,22/12/1994,99423521,102,The fight to save the world is on!,4.1,325
The Pianist,The Pianist,http://www.thepianistmovie.com/,35000000,en,The Pianist is a film adapted from the biography of Wladyslaw Szpilman. A Jewish-Polish pianist who during the second world war lived and hid miraculously in Warsaw after having gone through a terrible tragedy. A film from Roman Polanski.,50.587541,24/09/2002,120072577,150,Music was his passion. Survival was his masterpiece.,8,1864
The Nativity Story,The Nativity Story,,35000000,en,"Mary and Joseph make the hard journey to Bethlehem for a blessed event in this retelling of the Nativity story. This meticulously researched and visually lush adaptation of the biblical tale follows the pair on their arduous path to their arrival in a small village, where they find shelter in a quiet manger and Jesus is born.",3.721272,01/12/2006,0,101,Her child would change the world.,6.4,35
House of Wax,House of Wax,,40000000,en,A group of unwitting teens are stranded near a strange wax museum and soon must fight to survive and keep from becoming the next exhibit.,17.157738,30/04/2005,68766121,113,Prey. Slay. Display,5.5,677
Closer,Closer,,27000000,en,"A witty, romantic, and very dangerous love story about chance meetings, instant attractions, and casual betrayals. Two couples disintegrate when they begin destructive adulterous affairs with each other.",22.636908,01/12/2004,115505027,104,"If you believe in love at first sight, you never stop looking.",6.7,811
J. Edgar,J. Edgar,http://jedgarmovie.warnerbros.com/dvd/,35000000,en,"As the face of law enforcement in America for almost 50 years, J. Edgar Hoover was feared and admired, reviled and revered. But behind closed doors, he held secrets that would have destroyed his image, his career and his life.",28.069419,09/11/2011,84606030,137,The most powerful man in the world.,6,741
Mirrors,Mirrors,,35000000,en,An ex-cop and his family are the target of an evil force that is using mirrors as a gateway into their home.,19.774543,15/08/2008,72436439,110,There is evil...On the other side.,6,485
Queen of the Damned,Queen of the Damned,,35000000,en,"Lestat de Lioncourt is awakened from his slumber. Bored with his existence he has now become this generations new Rock God. While in the course of time, another has arisen, Akasha, the Queen of the Vampires and the Dammed. He want's immortal fame, his fellow vampires want him eternally dead for his betrayal, and the Queen want's him for her King. Who will be the first to reach him? Who shall win?",11.644243,10/02/2002,45479110,101,This time there are no interviews.,5.4,239
Predator 2,Predator 2,,35000000,en,"Ten years after a band of mercenaries first battled a vicious alien, the invisible creature from another world has returned to Earth -- and this time, it's drawn to the gang-ruled and ravaged city of Los Angeles. When it starts murdering drug dealers, detective-lieutenant Mike Harrigan and his police force set out to capture the creature, ignoring warnings from a mysterious government agent to stay away.",27.934978,20/11/1990,57120318,108,Silent. Invisible. Invincible. He's in town with a few days to kill.,5.9,730
Untraceable,Untraceable,http://www.sonypictures.com/movies/untraceable/,35000000,en,"Special Agent Jennifer Marsh (Diane Lane) works in an elite division of the FBI dedicated to fighting cybercrime. She thinks she has seen it all, until a particularly sadistic criminal arises on the Internet. This tech-savvy killer posts live feeds of his crimes on his website; the more hits the site gets, the faster the victim dies. Marsh and her team must find the elusive killer before time runs out.",12.677505,22/01/2008,32483410,101,A cyber killer has finally found the perfect accomplice: You.,5.9,238
Blast from the Past,Blast from the Past,,35000000,en,"Following a bomb scare in the 1960s that locked the Webers into their bomb shelter for 35 years, Adam now ventures forth into Los Angeles to obtain food and supplies for his family, and a non-mutant wife for himself.",8.737058,12/02/1999,40263020,112,She'd never met anyone like him. He's never met anyone... Period.,6.3,245
Flash Gordon,Flash Gordon,,35000000,en,"A football player and his friends travel to the planet Mongo and find themselves fighting the tyrant, Ming the Merciless, to save Earth.",12.343507,01/09/1980,27107960,111,He'll save every one of us!,6.1,233
Jersey Girl,Jersey Girl,,35000000,en,"Ollie Trinke is a young, suave music publicist who seems to have it all, with a new wife and a baby on the way. But life deals him a bum hand when he's suddenly faced with single fatherhood, a defunct career and having to move in with his father. To bounce back, it takes a new love and the courage instilled in him by his daughter.",14.699342,25/03/2004,36098382,102,He wanted it all...but he got more than he bargained for.,5.8,325
Alex Cross,Alex Cross,,45000000,en,"After Washington DC detective Alex Cross is told that a family member has been murdered, he vows to track down the killer. He soon discovers that she was not his first victim and that things are not what they seem.",14.513243,18/10/2012,30353232,101,Don't Ever Cross Alex Cross,5.1,300
Midnight in the Garden of Good and Evil,Midnight in the Garden of Good and Evil,,35000000,en,"A visiting city reporter's assignment suddenly revolves around the murder trial of a local millionaire, whom he befriends.",5.525544,21/11/1997,25105255,155,,6.3,157
Heist,Heist,,8900000,en,"A father is without the means to pay for his daughter's medical treatment. As a last resort, he partners with a greedy co-worker to rob a casino. When things go awry they're forced to hijack a city bus.",15.079993,13/11/2015,4100000,93,Never make a bet you can't afford to lose.,5.6,318
Nanny McPhee and the Big Bang,Nanny McPhee and the Big Bang,http://www.nannymcphee.co.uk/,35000000,en,"Nanny McPhee appears at the door of a harried young mother, Mrs. Isabel Green, who is trying to run the family farm while her husband is away at war. But once she’s arrived, Nanny McPhee discovers that the children are fighting a war of their own against two spoiled city cousins who have just moved in. Relying on everything from a flying motorcycle and a statue that comes to life to a tree-climbing piglet and a baby elephant, Nanny uses her magic to teach her mischievous charges five new lessons.",23.835055,26/03/2010,93246388,109,You'll Believe That Pigs Can Fly!,6,436
Hoffa,Hoffa,,35000000,en,"Jack Nicholson's portrait of union leader James R. Hoffa, as seen through the eyes of his friend, Bobby Ciaro (Danny DeVito). The film follows Hoffa through his countless battles with the RTA and President Roosevelt all the way to a conclusion that negates the theory that he disappeared in 1975.",5.926966,25/12/1992,0,140,,6.1,81
The X Files: I Want to Believe,The X Files: I Want to Believe,,30000000,en,"Six years after the events of The X-Files series finale, former FBI agent Doctor Dana Scully is now a staff physician at Our Lady of Sorrows, a Catholic hospital, and treating a boy named Christian who has Sandhoff disease, a terminal brain condition. FBI agent Drummy arrives to ask Scully’s help in locating Fox Mulder, the fugitive former head of the X-Files division, and says they will call off its manhunt for him if he will help investigate the disappearances of several women, including young FBI agent Monica Banan.  Mulder and Scully are called back to duty by the FBI when a former priest claims to be receiving psychic visions pertaining to a kidnapped agent.",25.454549,24/07/2008,68369434,104,"To find the truth, you must believe.",5.5,523
Ella Enchanted,Ella Enchanted,http://www.miramax.com/movie/ella-enchanted/,31000000,en,"Ella lives in a magical world in which each child, at the moment of their birth, is given a virtuous ""gift"" from a fairy godmother. Ella's so-called gift, however, is obedience. This birthright proves itself to be quite the curse once Ella finds herself in the hands of several unscrupulous characters whom she quite literally cannot disobey. Determined to gain control of her life and decisions, Ella sets off on a journey to find her fairy godmother who she hopes will lift the curse. The path, however, isn't easy -- Ella must outwit a slew of unpleasant obstacles including ogres, giants, wicked stepsisters, elves and Prince Charmont's evil uncle, who wants to take over the crown and rule the kingdom.",22.71592,09/04/2004,27388767,96,Get enchanted,5.9,437
Concussion,Concussion,http://www.sonypictures.com/movies/concussion/,35000000,en,"A dramatic thriller based on the incredible true David vs. Goliath story of American immigrant Dr. Bennet Omalu, the brilliant forensic neuropathologist who made the first discovery of CTE, a football-related brain trauma, in a pro player and fought for the truth to be known. Omalu's emotional quest puts him at dangerous odds with one of the most powerful institutions in the world.",35.120736,12/11/2015,50363790,123,Even Legends Need a Hero,7,823
Abduction,Abduction,http://www.abductionthefilm.com/,35000000,en,A young man sets out to uncover the truth about his life after finding his baby photo on a missing persons website.,19.893646,22/09/2011,82087155,106,They stole his life. He's taking it back.,5.6,961
Valiant,Valiant,,35000000,en,"The animated comedy tells the story of a lowly wood pigeon named Valiant, who overcomes his small size to become a hero in Great Britain's Royal Air Force Homing Pigeon Service during World War II. The RHPS advanced the Allied cause by flying vital messages about enemy movements across the English Channel, whilst evading brutal attacks by the enemy's Falcon Brigade.",14.051852,25/03/2005,19478106,76,"Some pigeons eat crumbs, others make history.",5.2,235
Wonder Boys,Wonder Boys,,35000000,en,"Grady (Michael Douglas) is a 50-ish English professor who hasn't had a thing published in years -- not since he wrote his award winning ""Great American Novel"" 7 years ago. This weekend proves even worse than he could imagine as he finds himself reeling from one misadventure to another in the company of a new wonder boy author.",9.011729,22/02/2000,0,111,Undependable. Unpredictable. Unforgettable.,6.9,161
Superhero Movie,Superhero Movie,,35000000,en,"The team behind Scary Movie takes on the comic book genre in this tale of Rick Riker, a nerdy teen imbued with superpowers by a radioactive dragonfly. And because every hero needs a nemesis, enter Lou Landers, aka the villainously goofy Hourglass.",19.088655,27/03/2008,25871834,85,The greatest Superhero movie of all time! (not counting all the others),4.9,379
Broken City,Broken City,http://www.brokencitymovie.com/,56000000,en,"In a broken city rife with injustice, ex-cop Billy Taggart seeks redemption and revenge after being double-crossed and then framed by its most powerful figure, the mayor. Billy's relentless pursuit of justice, matched only by his streetwise toughness, makes him an unstoppable force - and the mayor's worst nightmare.",29.490057,18/01/2013,19701164,109,Proof Can Be a Powerful Weapon.,5.7,593
Cursed,Cursed,,35000000,en,"A werewolf loose in Los Angeles changes the lives of three young adults, who, after being mauled by the beast, learn they must kill their attacker if they hope to change their fate to avoid becoming werewolves too.",11.195593,25/02/2005,19294901,97,What doesn't kill you makes you stronger.,5.1,167
Premium Rush,Premium Rush,http://www.premiumrush.com/,35000000,en,"In Manhattan, a bike messenger picks up an envelope that attracts the interest of a dirty cop, who pursues the cyclist throughout the city.",17.709888,24/08/2012,31083599,91,Ride Like Hell,6.2,832
Hot Pursuit,Hot Pursuit,,35000000,en,An uptight by-the-book cop must protect the widow of a drug boss from crooked cops and gunmen.,18.262017,08/05/2015,51680201,87,Armed and Sort-of Dangerous.,5.4,647
The Four Feathers,The Four Feathers,,35000000,en,"The story, set in 1875, follows a British officer (Heath Ledger) who resigns his post when he learns of his regiment's plan to ship out to the Sudan for the conflict with the Mahdi. His friends and fiancée send him four white feathers which symbolize cowardice. To redeem his honor he disguises himself as an Arab and secretly saves the lives of those who branded him a coward.",10.10364,08/09/2002,29882645,132,"Freedom. Country. Honor. Passion. To save his best friend, one man must risk everything he loves.",6.5,159
Parker,Parker,,35000000,en,"A thief with a unique code of professional ethics is double-crossed by his crew and left for dead. Assuming a new disguise and forming an unlikely alliance with a woman on the inside, he looks to hijack the score of the crew's latest heist.",28.670477,23/01/2013,46216641,118,"To get away clean, you have to play dirty.",5.7,1455
Wimbledon,Wimbledon,,31000000,en,"A pro tennis player has lost his ambition and has fallen in rank to 119. Fortunately for him, he meets a young player on the women's circuit who helps him recapture his focus for Wimbledon.",16.736734,13/09/2004,41512007,98,She's the golden girl. He's the longshot. It's a match made in...,6,293
Furry Vengeance,Furry Vengeance,http://www.furryvengeance-movie.com/,35000000,en,"When real estate developer Dan Sanders finalizes plans to level a swath of pristine Oregon forest to make way for a soulless housing subdivision, a band of woodland creatures rises up to throw a monkey wrench into the greedy scheme. Just how much mischief from the furry critters can the businessman take before he calls it quits?",13.668633,02/04/2010,39340177,92,He came. He saw. They conquered.,4.6,149
Bait,Bait,,30000000,en,A freak tsunami traps shoppers at a coastal Australian supermarket inside the building ... along with a 12-foot great white shark.,9.780588,05/09/2012,0,93,Cleanup on aisle 7.,5.3,191
Krull,Krull,,27000000,en,A prince and a fellowship of companions set out to rescue his bride from a fortress of alien invaders who have arrived on their home planet.,9.904881,29/07/1983,16519460,117,A world light-years beyond your imagination.,5.8,129
Lions for Lambs,Lions for Lambs,,35000000,en,"Three stories told simultaneous in ninety minutes of real time: a Republican Senator who's a presidential hopeful gives an hour-long interview to a skeptical television reporter, detailing a strategy for victory in Afghanistan; two special forces ambushed on an Afghani ridge await rescue as Taliban forces close in; a poli-sci professor at a California college invites a student to re-engage.",9.789027,22/10/2007,63215872,92,"If you don't STAND for something, you might FALL for anything.",6,216
Flight of the Intruder,Flight of the Intruder,,35000000,en,"U.S. Navy pilot Lt. Jake Grafton and his bombardier buddy, Lt. Cmdr. Virgil Cole, are two soldiers embedded in the Vietnam War growing frustrated by the military's constraints on their missions. Despite the best efforts of their commanding officer, Cmdr. Frank Camparelli, to re-engage them, this disillusioned pair decide to take the war effort into their own hands with an explosive battle plan that could well get them court-martialed.",6.81729,18/01/1991,0,115,The only thing they can count on is each other.,5.7,31
Walk Hard: The Dewey Cox Story,Walk Hard: The Dewey Cox Story,http://www.walkhard-movie.com/,35000000,en,Singer Dewey Cox overcomes adversity to become a musical legend.,10.73522,21/12/2007,18317151,96,Life made him tough. Love made him strong. Music made him hard.,6.6,212
The Shipping News,The Shipping News,,0,en,An emotionally-beaten man with his young daughter moves to his ancestral home in Newfoundland to reclaim his life.,11.1399,18/12/2001,0,111,You'll never guess what you'll find inside...,6.4,108
American Outlaws,American Outlaws,,35000000,en,"When a Midwest town learns that a corrupt railroad baron has captured the deeds to their homesteads without their knowledge, a group of young ranchers join forces to take back what is rightfully theirs. They will become the object of the biggest manhunt in the history of the Old West and, as their fame grows, so will the legend of their leader, a young outlaw by the name of Jessie James.",6.727949,17/08/2001,13678913,94,Sometimes the wrong side of the law is the right place to be.,5.7,55
The Young Victoria,The Young Victoria,http://www.theyoungvictoriamovie.com/,35000000,en,"From Academy Award® winners Graham King and Martin Scorsese, along with the makers of Gosford Park and The Departed, comes the story of Queen Victoria’s early rise to power. From an object of a royal power-struggle to her romantic courtship and legendary marriage to Prince Albert, Emily Blunt (The Devil Wears Prada) gives a stunning performance as the young Victoria. Packed with drama, romance, breath-taking cinematography, lavish costumes and featuring an outstanding British cast including Jim Broadbent, Harriet Walter, Mark Strong, Paul Bettany, Miranda Richardson, and Rupert Friend, The Young Victoria has captivated British audiences, and is the film that Company magazine called “an epic British film, which will sweep you up in her remarkable story.”",16.343317,04/03/2009,27409889,105,Love rules all.,7,322
Whiteout,Whiteout,http://www.whiteoutmovie.com/,40000000,en,"The only U.S. Marshal assigned to Antarctica, Carrie Stetko will soon leave the harsh environment behind for good – in three days, the sun will set and the Amundsen-Scott Research Station will shut down for the long winter. When a body is discovered out on the open ice, Carrie's investigation into the continent's first homicide plunges her deep into a mystery that may cost her her own life.",14.818718,09/09/2009,12206028,101,See Your Last Breath,5.3,220
The Tree of Life,The Tree of Life,http://www.twowaysthroughlife.com/,32000000,en,"The impressionistic story of a Texas family in the 1950s. The film follows the life journey of the eldest son, Jack, through the innocence of childhood to his disillusioned adult years as he tries to reconcile a complicated relationship with his father. Jack finds himself a lost soul in the modern world, seeking answers to the origins and meaning of life while questioning the existence of faith.",43.862456,18/05/2011,54674226,139,Nothing stands still.,6.5,987
Knock Off,Knock Off,,33000000,en,"Marcus Ray (Jean-Claude Van Damme), a sales representative for ""V SIX"" jeans, and his partner, Tommy Hendricks (Rob Schneider), are about to be busted for selling ""knock off"" jeans. Their American contact, Karan Leigh, who by the way is not only their employer but a CIA agent sent to find the mole in their operation, is threatening them with a jail term if they do not prove their innocence.",2.706207,04/09/1998,0,91,There is no substitute.,4.7,64
Sabotage,Sabotage,,35000000,en,"In ""Sabotage"", Arnold Schwarzenegger leads an elite DEA task force that takes on the world's deadliest drug cartels. When the team successfully executes a high-stakes raid on a cartel safe house, they think their work is done - until, one-by-one, the team members mysteriously start to be eliminated. As the body count rises, everyone is a suspect.",27.903999,28/03/2014,17508518,110,Leave no loose ends,5.5,555
The Order,The Order,,35000000,en,"For centuries, a secret Order of priests has existed within the Church. A renegade priest, Father Alex Bernier, is sent to Rome to investigate the mysterious death of one of the Order's most revered members. Following a series of strangely similar killings, Bernier launches an investigation that forces him to confront unimaginable evil.",3.746806,05/09/2003,11560806,102,Every soul has its price.,4.8,91
Punisher: War Zone,Punisher: War Zone,http://punisherwarzonemovie.com,20500000,en,"Waging his one-man war on the world of organized crime, ruthless vigilante-hero Frank Castle sets his sights on overeager mob boss Billy Russoti. After Russoti is left horribly disfigured by Castle, he sets out for vengeance under his new alias: Jigsaw. With the ""Punisher Task Force"" hot on his trail and the FBI unable to take Jigsaw in, Frank must stand up to the formidable army that Jigsaw has recruited before more of his evil deeds go unpunished.",17.112498,05/12/2008,10089373,102,Vengeance has a name,5.6,294
Zoom,Zoom,,35000000,en,"Jack Shepard is an out-of-shape auto shop owner, far removed from the man who once protected the world's freedom. Reluctantly called back into action by the government, Jack is tasked with turning a rag tag group of kids with special powers into a new generation of superheroes to save the world from certain destruction. Based on Jason Lethcoe's graphic novel ""Zoom's Academy for the Super Gifted"".",10.304172,11/08/2006,12506188,83,They're going to save the world... as long as they're home for dinner.,4.9,135
The Walk,The Walk,http://www.sonypictures.com/movies/thewalk/,35000000,en,The story of French high-wire artist Philippe Petit's attempt to cross the Twin Towers of the World Trade Center in 1974.,37.335721,30/09/2015,61181942,123,Dream High.,6.9,1121
Warriors of Virtue,Warriors of Virtue,,0,en,"A young man, Ryan, suffering from a disability, wishes to join the other kids from his schools football team. During an initiation rite, Ryan is swept away through a whirlpool to the land of Tao. There he is hunted by the evil Lord Komodo, who desires the boy as a key to enter the real world. Ryan is rescued by the protectors of Tao, five humanoid kangaroos, each embued with the five elements and virtues. Ryan learns his valuable lesson while saving the land of Tao.",0.912395,02/05/1997,0,103,In a world beyond your imagination a battle for the universe has begun.,4.7,9
A Good Year,A Good Year,,35000000,en,"Failed London banker Max Skinner inherits his uncle's vineyard in Provence, where he spent many childhood holidays. Upon his arrival, he meets a woman from California who tells Max she is his long-lost cousin and that the property is hers.",16.782471,09/09/2006,42064105,118,Everything matures... eventually.,6.5,357
Radio Flyer,Radio Flyer,,35000000,en,"A father reminisces about his childhood when he and his younger brother moved to a new town with their mother, her new husband and their dog, Shane. When the younger brother is subjected to physical abuse at the hands of their brutal stepfather, Mike decides to convert their toy trolley, the ""Radio Flyer"", into a plane to fly him to safety.",3.503408,21/02/1992,4651977,114,Powered by imagination.,6.6,53
Bound by Honor,Bound by Honor,,35000000,en,"Based on the true life experiences of poet Jimmy Santiago Baca, the film focuses on half-brothers Paco and Cruz, and their bi-racial cousin Miklo. It opens in 1972, as the three are members of an East L.A. gang known as the ""Vatos Locos"", and the story focuses on how a violent crime and the influence of narcotics alter their lives. Miklo is incarcerated and sent to San Quentin, where he makes a ""home"" for himself. Cruz becomes an exceptional artist, but a heroin addiction overcomes him with tragic results. Paco becomes a cop and an enemy to his ""carnal"", Miklo.",9.122828,05/02/1993,0,180,An epic story of three brothers. Bound by blood. Divided by fate. Driven by destiny.,7.7,115
Smilla's Sense of Snow,Smilla's Sense of Snow,,35000000,en,"Smilla Jaspersen, half Danish, half Greenlander, attempts to understand the death of a small boy who falls from the roof of her apartment building. Suspecting wrongdoing, Smilla uncovers a trail of clues leading towards a secretive corporation that has made several mysterious expeditions to Greenland. Scenes from the film were shot in Copenhagen and western Greenland. The film was entered into the 47th Berlin International Film Festival, where director Bille August was nominated for the Golden Bear.",5.419181,13/02/1997,0,121,Some Tracks Should Never Be Uncovered.,6.6,60
Femme Fatale,Femme Fatale,,35000000,en,"A woman tries to straighten out her life, even as her past as a con-woman comes back to haunt her.",9.07278,06/11/2002,16838910,114,Nothing is more desirable or more deadly than a woman with a secret.,6.2,142
Lion of the Desert,Lion of the Desert,,35000000,en,"This movie tells the story of Omar Mukhtar, an Arab Muslim rebel who fought against the Italian conquest of Libya in WWII. It gives western viewers a glimpse into this little-known region and chapter of history, and exposes the savage means by which the conquering army attempted to subdue the natives.",2.864979,17/04/1981,0,173,He was a man of honor in a war without any.,7.4,34
Le Hussard sur le toit,The Horseman on the Roof,,35000000,en,"In a time of war and disease, a young officer gallantly tries to help a young woman find her husband.",2.877488,20/09/1995,15000000,135,,6.7,25
Ride with the Devil,Ride with the Devil,,38000000,en,"Ride with the Devil follows four people who are fighting for truth and justice amidst the turmoil of the American Civil War. Director Ang Lee takes us to a no man's land on the Missouri/Kansas border where a staunch loyalist, an immigrant's son, a freed slave, and a young widow form an unlikely friendship as they learn how to survive in an uncertain time. In a place without rules and redefine the meaning of bravery and honor.",5.516207,24/11/1999,635096,138,"In a No-man's Land between North and South, You didn't fight for the Blue or the Grey... You fought for your friends and family.",6.6,49
Biutiful,Biutiful,,0,es,"This is a story of a man in free fall. On the road to redemption, darkness lights his way. Connected with the afterlife, Uxbal is a tragic hero and father of two who's sensing the danger of death. He struggles with a tainted reality and a fate that works against him in order to forgive, for love, and forever.",13.930763,20/10/2010,25147786,148,"You don't choose your family. We all belong to somebody, but to belong to Uxbal and Marambra, is both a blessing and a curse.",7,291
Bandidas,Bandidas,,35000000,es,"Set in the late 19th century. When a ruthless robber baron takes away everything they cherish, a rough-and-tumble, idealistic peasant and a sophisticated heiress embark on a quest for justice, vengeance…and a few good heists.",20.27704,18/01/2006,10496317,93,Being BAD never looked so GOOD!,5.8,307
Black Water Transit,Black Water Transit,,0,en,"In this action thriller set in post-Katrina New Orleans, business owner Jack Vermillion (Laurence Fishburne) is struggling to run a legitimate shipping company while bad guy Ernest Pike (Karl Urban) is struggling to get his family's illegal gun collection out of the country. When their paths collide, Jack realizes that exposing Pike might get him just the sway he needs to persuade law enforcement officials to treat his imprisoned son kindly.",0.126738,13/05/2009,0,100,,0,0
The Maze Runner,The Maze Runner,http://themazerunnermovie.com/,34000000,en,"Set in a post-apocalyptic world, young Thomas is deposited in a community of boys after his memory is erased, soon learning they're all trapped in a maze that will require him to join forces with fellow ""runners"" for a shot at escape.",131.815575,10/09/2014,348319861,113,Run - Remember - Survive,7,5371
Unfinished Business,Unfinished Business,,35000000,en,"A hard-working small business owner and his two associates travel to Europe to close the most important deal of their lives.  But what began as a routine business trip goes off the rails in every imaginable – and unimaginable – way, including unplanned stops at a massive sex fetish event and a global economic summit.",16.832312,05/03/2015,14431253,91,Best business trip ever.,5,320
The Age of Innocence,The Age of Innocence,,34000000,en,"Tale of 19th century New York high society in which a young lawyer falls in love with a woman separated from her husband, while he is engaged to the woman's cousin.",9.133747,17/09/1993,32255440,139,In a world of tradition. In an age of innocence. They dared to break the rules.,7,169
The Fountain,The Fountain,http://thefountainmovie.warnerbros.com/,35000000,en,"Spanning over one thousand years, and three parallel stories, The Fountain is a story of love, death, spirituality, and the fragility of our existence in this world.",24.606012,06/09/2006,15304890,96,Death is the road to awe,6.8,827
Chill Factor,Chill Factor,,70000000,en,A store clerk and an ice cream truck driver are thrown together when a dying scientist entrusts them with a deadly chemical kept in ice. This chemical will kill every living thing once it melts. They have to take the chemical codenamed 'Elvis' to the next nearest military base while being chased by terrorists who want it to hold the country for ransom.,3.276912,01/09/1999,11263966,101,"This Fall, Action is served on the rocks, with a twist.",5.3,29
Stolen,Stolen,,35000000,en,"A former thief frantically searches for his missing daughter, who has been kidnapped and locked in the trunk of a taxi.",16.830184,17/05/2012,2106557,96,Never steal from the world's greatest thief.,5.1,344
崖の上のポニョ,Ponyo,,41677699,ja,"The son of a sailor, 5-year old Sosuke lives a quiet life on an oceanside cliff with his mother Lisa. One fateful day, he finds a beautiful goldfish trapped in a bottle on the beach and upon rescuing her, names her Ponyo. But she is no ordinary goldfish. The daughter of a masterful wizard and a sea goddess, Ponyo uses her father's magic to transform herself into a young girl and quickly falls in love with Sosuke, but the use of such powerful sorcery causes a dangerous imbalance in the world. As the moon steadily draws nearer to the earth and Ponyo's father sends the ocean's mighty waves to find his daughter, the two children embark on an adventure of a lifetime to save the world and fulfill Ponyo's dreams of becoming human.",39.58676,19/07/2008,187479518,100,Welcome To A World Where Anything Is Possible.,7.5,926
The Longest Ride,The Longest Ride,,34000000,en,The lives of a young couple intertwine with a much older man as he reflects back on a lost love while he's trapped in an automobile crash.,41.946523,09/04/2015,63013281,128,Two couples. Two love stories. One epic tale.,7.3,1064
The Astronaut's Wife,The Astronaut's Wife,,75000000,en,"When astronaut Spencer Armacost returns to Earth after a mission that nearly cost him his life, he decides to take a desk job in order to see his beautiful wife, Jillian, more often. Gradually, Jillian notices that Spencer's personality seems to have changed, but her concerns fade when she discovers that she's pregnant. As Jillian grows closer to becoming a mother, her suspicions about Spencer return. Why does it seem as if he's a different person?",20.697556,26/08/1999,19598588,109,How well do you know the one you love?,5.4,254
I Dreamed of Africa,I Dreamed of Africa,,34000000,en,"Inspired by the true story of indomitable Kuki Gallmann, the film tells of a beautiful and inquisitive woman who had the courage to escape from her comfortable yet monotonous life in Italy to start anew in the African wilderness with her son, Emanuele, and her new husband, Paolo. Gallmann faces great danger there but eventually becomes a celebrated conservationist.",1.656695,05/05/2000,0,114,Sometimes the adventure of a lifetime becomes life itself.,5.3,18
Playing for Keeps,Playing for Keeps,,35000000,en,A former sports star who's fallen on hard times starts coaching his son's soccer team in an attempt to get his life together.,17.932561,29/11/2012,0,106,,5.4,240
Mandela: Long Walk to Freedom,Mandela: Long Walk to Freedom,,35000000,en,A chronicle of Nelson Mandela's life journey from his childhood in a rural village through to his inauguration as the first democratically elected president of South Africa.,15.50957,06/12/2013,27330000,141,It is an ideal for which I am prepared to die.,6.5,224
Reds,Reds,,32000000,en,A radical American journalist becomes involved with the Communist revolution in Russia and hopes to bring its spirit and idealism to the United States.,4.602185,25/12/1981,40382659,195,Not since Gone With The Wind has there been a great romantic epic like it!,7.1,67
